chain,address,tx_total,avg_tx_per_day,avg_tx_per_block,max_tx_per_block,min_tx_per_block,std_tx_amount,tx_between_00_04,num_unique_counterparties,same_day_deposit_withdraw,most_common_amount
ETH,0xff6c307226343fcf96af2f6b5b05f63f717e68cb,109,4.54,1.0,1,1,0.286428,0.2661,40,0,0.0
ETH,0xa2612ffd29c3fa161712ef8069ef5dda344624cf,300,27.27,1.0135,2,1,12.039347,0.0,46,1,0.0
ETH,0xcd7c88dedc52b58fe3455f1a4f9c9f077c8f4d86,23,11.5,1.0,1,1,0.244081,0.0,13,1,0.0
ETH,0x5844615552283374dd1ba95ec54bf83fae63ff10,282,3.1,1.2368,11,1,0.055845,0.0851,77,1,0.0
ETH,0x9e6f4c45f869c77e7bc9e28676f22577b64ac082,5121,14.43,1.1926,17,1,16.473726,0.2043,605,1,0.0
ETH,0x7c453212b25228c25873631140d063a8ae722cb3,242,3.9,1.0342,5,1,19.974162,0.1653,69,1,0.0
ETH,0xfc6b6a56a5e504ed16530093b9370e855e8ce223,49,3.5,1.0889,3,1,0.08853,0.0408,30,1,0.0
ETH,0x40891482662fc44b73310cbea4ae8cfc28b12905,17,1.89,1.0625,2,1,1.105466,0.0588,9,1,0.0
ETH,0x87d4b3287c7644c02885e9301a56b56bc68ef3f1,322,4.6,1.0805,4,1,18.996843,0.0093,69,1,0.0
ETH,0xcc54464057cda9a63cf719622db2b6431eb3a5cc,255,3.4,1.0324,2,1,1.64096,0.0588,73,1,0.0
ETH,0xfac7dd7e20eb674ee38c7864296fb451249f26c9,154,1.93,1.0199,2,1,2.351071,0.1169,47,1,0.0
ETH,0x7fac097afebc44f33e9d597768c33d6988f686be,252,2.52,1.0413,2,1,2.478172,0.2302,72,1,0.0
ETH,0x9ea60da3d1b80445f26cb708f0d37e33107b43f5,2158,6.54,1.079,5,1,5.519345,0.183,364,1,0.0
ETH,0x27243bb8a86c1bd978607e2261d08086c6d6b248,173,3.68,1.0613,3,1,32.643967,0.0867,50,1,0.0
ETH,0x9dd7444ddc0f273e379c8fc576836bc63ddafeb6,66,3.88,1.082,2,1,7.744695,0.1364,28,1,0.0
ETH,0xdcc9501bf95ac934bb94b4d799d3afc6d08b0ff1,1746,5.0,1.0879,7,1,0.44584,0.1924,504,1,0.0
ETH,0xf4e9e5a00dc6cc4cf9bd05523ca86c1f5e5b1433,208,3.53,1.0196,2,1,0.601622,0.1971,42,1,0.0
ETH,0xa0c507af7033d10b21dcabde52805156cf6c9af2,84,4.67,1.12,3,1,0.707034,0.1786,28,1,0.0
ETH,0x946bdfde8858f43a50130d9e8e4161ecb0acb614,194,2.46,1.0265,2,1,1.124093,0.1392,85,1,0.0
ETH,0xeeee2f1a384b66e335e9fc824b18a6ab1eb78bb9,31,15.5,1.0,1,1,0.096023,0.2581,20,1,0.0
ETH,0x6b5c4a661527a6c0393897f490514c0a45360676,1990,5.57,1.043,5,1,2.528486,0.1573,397,1,0.0
ETH,0xbb672990fee1d3bc51c81acf6dcff041a948d2d9,327,5.64,1.0187,3,1,46.446986,0.1927,84,1,0.0
ETH,0x7d5cf81fc9f883859dd537938275665096e3059a,1081,4.85,1.0285,6,1,6.335187,0.2664,190,1,0.0
