chain,address,tx_total,avg_tx_per_day,avg_tx_per_block,max_tx_per_block,min_tx_per_block,std_tx_amount,tx_between_00_04,num_unique_counterparties,same_day_deposit_withdraw,most_common_amount
ETH,0xd1ceeee271fd5a8b0e2bfc12ea5b5b2e5cedec95,5527,6.49,1.3677,39,1,0.905637,0.0329,39,1,0.0
ETH,0x4a7a92fe5fdee55e90e199aaeb99f5b0f36e026d,5404,16.28,1.0048,3,1,0.939983,0.2185,98,1,0.1
ETH,0x00000000c0293c8ca34dac9bcc0f953532d34e4d,10000,123.46,1.0857,9,1,0.003174,0.1612,7,1,0.0
ETH,0xddfd7f68662bef333bb7891580948e83dcd3c988,10000,416.67,1.2142,7,1,13.28501,0.0689,11,1,5.0
ETH,0xfdc84ce4b42acccd34df47ce88c09a9ec7da14bf,8635,239.86,1.2079,8,1,9.890027,0.0563,13,1,5.0
ETH,0x04fc0ec03551ae1919c124b74da35ef7de4d3067,502,5.46,1.0287,3,1,1.626385,0.0159,55,1,0.0
ETH,0xf5492e21132e4a81cb1823e43e747203cc3eac1a,121,2.09,1.0083,2,1,1.201321,0.1901,49,1,0.0
ETH,0xfea0c2e840b3679e82003fcc1441634fe40832ec,32,2.29,1.0,1,1,66.170798,0.0312,10,1,15.0
ETH,0xfa2944cb867e9e76c0668b9d2e8cd4957542b0ef,341,4.94,1.0895,7,1,0.038118,0.0264,107,1,0.0
ETH,0x9424bfc9f19d2c40d79ca20094a7da9d4024c44b,2197,4.84,1.0447,6,1,6.365991,0.0141,511,1,0.0
ETH,0x1bdae00202724067e441e55e4b13538c6c5b3eb4,34,3.09,1.0,1,1,0.050112,0.0294,16,1,0.05
ETH,0x89247ef46707cb6ffc93208938bf08d3cba10e56,297,4.18,1.0458,5,1,0.155659,0.3603,89,1,0.0
ETH,0x5730c66a374e23946624917bae081ceb90e81932,176,3.59,1.0353,3,1,0.955405,0.0227,59,1,0.0
ETH,0xe7813792da36c7d52940405fa59e9ffd50edf611,813,5.35,1.0768,8,1,3.458645,0.1833,136,1,0.0
ETH,0x81fbc6cba20b65391d69c3ce883ad557ae50c0c9,44,2.75,1.0,1,1,0.717393,0.2727,22,1,0.0
ETH,0x320d7e2366d6fff656d652ff47578d43557bb843,251,10.91,1.0203,2,1,0.058165,0.2311,74,1,0.0
ETH,0x0d2c626e4a23d6754b6a7e0e27f4f97124abf47c,6238,11.02,1.2054,31,1,1.05257,0.3283,802,1,0.0
ETH,0x85ed2637cfabde43f0999bb19d7249f1300ed8ad,120,3.53,1.0084,2,1,2.64331,0.275,52,1,0.0
ETH,0x06550e014dcc6ae4843b574c2ace7dcbdbb9d1d6,738,5.55,1.0027,2,1,2.947862,0.1978,199,1,0.01
ETH,0x3752e82412f75b3406b7ea3bd20f901df7ce20d0,128,1.97,1.0079,2,1,0.258812,0.2969,58,1,0.0
ETH,0x54aad0593471cff41616227fed46eed1fa8fd0b9,337,12.04,1.012,2,1,0.038169,0.2374,115,1,0.01
ETH,0x936119b4d7b5a4fe751cb71f41de553a1aa523d6,568,11.14,1.1225,18,1,1.749411,0.206,58,1,0.0
ETH,0x871c8e3c7ee9086c0306f11fc272ca18daa58dbd,2511,6.96,1.0125,2,1,0.221201,0.0303,802,1,0.0
ETH,0x790a01260015463fa1a59929d36c69741ef3ec58,476,9.92,1.0393,3,1,0.101883,0.2332,117,1,0.0
ETH,0xea17e0e57f23f8442d8fdae6483602e7241750c5,76,3.04,1.0133,2,1,0.049981,0.0921,34,1,0.025
ETH,0xeeedb1b79ece195fc3c9472caba94457c46888b6,87,2.42,1.0482,4,1,0.351756,0.3103,49,1,0.0
ETH,0x30cc01b151bd46b0e268025e16aaaeb1b8d93cdb,1044,6.69,1.0097,4,1,0.115748,0.0527,476,1,0.0
ETH,0xf738a1b4398a4f326f1b4509814c21aafeb096e7,1122,6.13,1.037,5,1,0.291932,0.1105,96,1,0.0
ETH,0x7a9660f7e84159e01a5bcd80969aca8634dacd6f,227,5.4,1.0089,2,1,0.353837,0.3172,88,1,0.0
ETH,0x1333136b7f3c454082870d896cb14c7b9edeac12,97,2.85,1.0211,3,1,0.554589,0.3711,41,1,0.0
ETH,0x5ad689581f4aa4b9e5bef746e50ac2c2f35cde24,231,2.78,1.0043,2,1,7.28083,0.1472,97,1,0.0
ETH,0xf6770169d4e100d13c8eec6ee10817bf9d45ba05,218,3.63,1.0,1,1,7.114453,0.1927,67,1,0.0
ETH,0x99f6f2c686aa99584c58d5fcfc51a627e92cebfd,241,3.83,1.0,1,1,0.385634,0.2573,106,1,0.0
ETH,0x94d9e1be7d33a1b0baeb410bb10380f68935b493,774,6.45,1.0361,4,1,1.039822,0.2041,70,1,0.0
ETH,0x6e252e9d568934e17aca500e5140b8fed2cdd630,81,4.26,1.0,1,1,0.289418,0.0988,30,1,0.0
ETH,0xfc8068295b51f45e7c36e6b440106300d210856f,100,5.88,1.1236,6,1,0.865174,0.32,24,1,0.0
ETH,0x69c63f1d4c4df7739bace6c52bbe54b64e98f00a,298,11.46,1.1161,5,1,0.230778,0.0034,118,1,0.05
ETH,0x5350879fc3881f5bb723718964250e75f3f491cd,800,18.18,1.0013,2,1,0.298481,0.2712,51,1,0.1
ETH,0x1f92771237bd5eae04e91b4b6f1d1a78d41565a2,3356,13.37,1.0222,5,1,0.986745,0.031,987,1,0.0
ETH,0x26f0dc49b1ffa613f7c5ca57a57e3bfb18393e55,55,5.0,1.0,1,1,0.0436,0.2182,32,1,0.05
ETH,0x2471d75cb46da7af3fb519113561d88b2bf372a2,697,3.23,1.0205,4,1,0.92883,0.122,246,1,0.0
ETH,0xe7f53c3d7c114c1da9e180150a07b3f4e8add7ed,1262,9.42,1.0104,3,1,0.435058,0.0777,61,1,0.0
ETH,0x18e90fc6f70344f53ebd4f6070bf6aa23e2d748c,1563,7.97,1.1062,10,1,6.273171,0.1184,189,1,0.0
ETH,0x4d9910cc2a5d38c04a7023125a95d9e54ca344ca,86,2.97,1.0488,2,1,2.024888,0.0814,23,1,0.0
ETH,0x0ca9107449f10184d0835b7af56c08d72669ed2c,79,2.26,1.0,1,1,35.326392,0.0633,48,1,0.0
ETH,0x49c97a0cc6ad57750f21eb897ccbe26f27a845cd,431,16.58,1.0286,2,1,0.400155,0.3109,20,1,0.0
ETH,0xf39e044e1ab204460e06e87c6dca2c6319fc69e3,131,14.56,1.0917,4,1,0.212634,0.0916,17,1,0.0
ETH,0xd19e13d40188a0123da1561c8f063ce5cadecd56,678,7.7,1.1395,6,1,352.966759,0.1224,193,1,0.0
ETH,0xbcef6ad915150369ce8a9c6af8d8dbf9a79e323c,5,1.67,1.0,1,1,0.577201,0.2,5,1,1.10315
ETH,0x11297b8dcc5ece27c03a2d16d5db4a5fd53e44b2,127,9.77,1.016,2,1,0.30359,0.0,67,1,0.1
ETH,0x000042425e06b0b1e8e20a811c91d6864608324b,10000,138.89,1.0648,7,1,0.017121,0.1367,118,1,0.0
